
-8.69875, -0.77232, 531.84091, -15.69815,  3.54510,  1.43373
-8.26919, -0.37402, 531.72746, -15.69815,  3.54510,  1.56330
-8.55346, -0.62740, 531.77781, -15.69815,  3.54510,  1.56324
-8.69141, -0.72727, 531.73544, -15.69815,  3.54510,  1.64319
-8.79604, -0.48365, 531.73329, -15.69815,  3.54510,  1.53250
-8.02476, -0.77934, 531.73215, -15.69815,  3.54510,  1.59527
-8.53870, -0.74692, 531.22270, -15.79886,  3.45041,  1.52509
-8.13502, -0.78202, 531.27070, -15.79673,  3.63912,  1.42679
-8.43098, -0.75135, 531.75232, -15.69815,  3.54510,  1.56868
-8.42004, -0.73895, 530.70883, -15.89743,  3.54443,  1.69944
-8.37902, -0.98406, 531.21215, -15.79673,  3.63912,  1.42670
-8.11286, -0.59243, 530.66921, -15.89743,  3.54443,  1.59818
-8.40454, -1.27248, 531.23164, -15.79673,  3.63912,  1.29418
-9.07870, -0.85951, 531.28402, -15.79673,  3.63912,  1.43436
-8.03561, -1.30419, 531.24866, -15.79673,  3.63912,  1.39847
-8.27928, -1.42358, 531.75536, -16.09441,  3.54015,  1.29097
-8.10488, -1.01913, 531.14930, -15.79673,  3.63912,  1.35462
-8.22732, -1.01945, 531.74342, -15.89406,  3.73294,  1.45839
-8.12701, -0.88369, 531.20362, -15.79673,  3.63912,  1.39562
-8.14579, -1.03599, 530.59924, -15.89743,  3.54443,  1.41504
-8.21573, -0.99695, 531.62308, -16.09441,  3.54015,  1.38603
-8.26658, -1.01785, 531.74991, -15.89638,  3.54103,  1.38811
-8.67482, -0.77743, 532.33246, -15.99371,  3.63485,  1.56896
-7.98147, -0.90866, 531.71285, -16.09441,  3.54015,  1.35017
-8.24061, -0.71304, 531.71387, -16.09441,  3.54015,  1.46122
-8.27604, -1.01855, 531.75199, -16.09441,  3.54015,  1.39429
-8.12166, -0.91013, 531.73276, -16.09441,  3.54015,  1.32523
-8.09186, -0.64732, 531.70698, -16.09441,  3.54015,  1.25761
-7.85248, -1.06983, 531.75132, -16.09441,  3.54015,  1.21879
-8.38759, -1.28240, 531.72371, -16.09441,  3.54015,  1.28359
-8.49593, -0.98473, 531.68048, -16.09441,  3.54015,  1.38631
-8.09734, -0.76103, 531.19078, -16.19299,  3.63418,  1.28308
-8.39230, -0.72470, 531.71751, -16.09441,  3.54015,  1.42597
